lat, long
39.1982052066, -76.65720599
39.3491846311, -76.6520265834
39.2094919454, -76.6889659787
39.2255097138, -76.5933175055
39.2323597188, -76.6826067964
39.2393127701, -76.5378335735
39.3719948318, -76.5947494881
39.2361211045, -76.6816380511
39.2486533056, -76.6857434329
39.1999266652, -76.7004947383
39.3652012486, -76.6828430001
39.2493418281, -76.5334728781
39.2191258705, -76.6080669261
39.3171628174, -76.5308212066
39.2492653818, -76.6589565185
39.2386224639, -76.6129438701
39.2233633603, -76.6083149616
39.2464144267, -76.6301755403
39.3417516786, -76.6024818698
39.3307925233, -76.7112618402
39.317085062, -76.5860693718
39.2276997478, -76.5622682724
39.3586729222, -76.6351682541
39.3023068814, -76.6992883263
39.2752024539, -76.6457692462
39.3346139531, -76.6496188769
39.2136974612, -76.6593205781
39.2519714848, -76.5807165793
39.2171967996, -76.5847620893
39.2350109999, -76.6154666748
39.2389268312, -76.6860082068
39.3666579233, -76.6411692444
39.3646967917, -76.6553681205
39.1981955049, -76.5836892771
39.2616497811, -76.6563143303
39.303887832, -76.6845834689
39.232886785, -76.6751075601
39.278857433, -76.694462762
39.3665716766, -76.5827297321
39.2684940557, -76.679897524
39.3222336042, -76.6898058977
39.3366245619, -76.5868208022
39.3185110547, -76.6775501827
39.2671497544, -76.6101453049
39.2288665872, -76.5525910586
39.2463330946, -76.6501005671
39.369702294, -76.6957083584
39.2550091238, -76.6804413587
39.2296427354, -76.6280311849
39.237397716, -76.6380474942
39.3389677873, -76.621656166
39.2149277262, -76.5794999746
39.2254045999, -76.6443627816
39.2999159506, -76.6940497077
39.3554461301, -76.64958475
39.2585165674, -76.6038111899
39.2943395308, -76.6356831743
39.2495423159, -76.6191522532
39.3466453182, -76.6602041253
39.2109784639, -76.630017329
39.3454367785, -76.5442625977
39.3714621416, -76.5808807386
39.2057029108, -76.6708253413
39.3213910853, -76.66190042
39.2228680627, -76.5458589089
39.349620443, -76.6607074823
39.3491906297, -76.6549707427
39.3634421542, -76.6229603773
39.3282943154, -76.6639080648
39.306689971, -76.6491882631
39.2576942866, -76.5465582672
39.2772521408, -76.6350080771
39.2304621846, -76.6445580278
39.3319721388, -76.616449167
39.2617779129, -76.5932254335
39.2496421899, -76.6377159285
39.2667696623, -76.5377612241
39.3348203102, -76.6611239578
39.2535259563, -76.6881290966
39.2802133978, -76.5404092132
39.2310567877, -76.7029986273
39.221164669, -76.6102459854
39.2753354832, -76.5725632225
39.3063020744, -76.6313981999
39.2361102636, -76.6040447746
39.266422478, -76.5590964504
39.3136741514, -76.5527981138
39.3589922298, -76.6077422375
39.2031690359, -76.5330794131
39.3291297912, -76.5864190796
39.3318246499, -76.6529967182
39.3081911552, -76.6525234446
39.2394220485, -76.545873673
39.357995547, -76.6697462857
39.3569713644, -76.5661011989
39.2433761136, -76.6992275568
39.271139727, -76.686859506
39.3020743304, -76.5419019259
39.2814098717, -76.7082441054
39.2155906304, -76.5956422611
