0.28846,1.4548
0.42951,1.8002
0.28803,1.7478
0.41661,1.7193
0.4238,1.6089
0,1.5494
7.6141,5.4679
8.1658,5.3254
7.6797,5.4156
7.6764,5.0809
8.0776,5.1134
8.0383,5.1408
7.8248,5.2943
7.3653,5.1516
7.8553,5.5008
8.1759,5.2899
7.3192,10
7.352,9.6378
7.7159,9.7021
6.8996,9.6818
7.5809,9.643
6.92,9.5181
6.9612,9.4594
4.8896,5.1849
4.6846,5.6264
4.484,4.8279
4.6482,5.0835
5.1811,5.414
4.6186,5.2749
4.5209,5.0682
4.6512,4.7222
4.7285,5.2362
4.5942,5.3403
4.669,5.1804
4.7045,5.4533
4.6828,5.0641
4.8995,5.0783
4.6261,5.1178
4.5868,4.9182
4.5723,5.1697
4.5398,5.0865
4.9398,5.0521
4.4074,4.6767
4.3607,5.233
6.3493,7.9965
6.4537,7.4446
6.1422,8.2311
5.8911,8.1339
6.2628,8.1799
6.0811,7.9057
6.1067,8.2451
6.0672,8.6711
5.6775,8.5212
6.0927,8.9245
5.8174,8.6829
5.6772,8.7717
5.5315,8.5858
5.5115,8.6668
5.9338,8.6953
6.0133,8.583
5.9213,8.9452
5.8803,8.6779
6.0351,8.9822
5.6665,8.1779
5.6993,8.9999
5.9426,8.7534
6.018,8.8211
5.9353,8.5373
5.7533,8.8192
5.6748,8.6692
5.4438,8.5395
5.9547,8.6651
5.9958,8.4703
5.989,8.2903
5.9482,8.6448
6.1822,9.1787
9.3818,1.7715
9.2657,1.6824
9.6189,1.6048
9.826,1.3134
9.4796,1.531
9.5868,1.7605
9.4175,1.8551
9.6152,1.5645
9.6394,1.2519
9.9374,1.76
9.6327,1.5146
9.4336,1.7475
9.3301,1.3889
9.6618,1.5453
9.2991,1.8426
9.5437,1.4378
10,1.6537
9.298,1.4064
9.5358,1.8764
9.88,1.5774
9.6307,0.95608
9.2203,0.031111
9.4851,0.083737
9.6329,0
6.0313,0.53599
5.8061,0.94945
6.1646,0.42741
5.9329,0.73479
6.0331,0.93234
6.0718,0.32876
6.1617,0.66681
6.3271,0.44202
